Source,Catalog,Site,Locus,ProvString,Component,Ct,Wt,MtlString,CndString,ML,AL,MW,MTH,BW,NW,PSA,DSA,MXWP,STL,Comments,PointType
Ruby,26EK-ISO-10-3563,26EK-ISO,-,-,,1,4.3,Cryptocrystalline silicate,Proximal fragment,32.6,31.7,19.8,6.6,13.7,12.6,112,202,,6.9,DSA rule,Elko?
Ruby,26EK-ISO-10-3564,26EK-ISO,-,-,,1,4.1,Cryptocrystalline silicate,Proximal fragment,-41.9,-41.5,-20.9,5.7,-10.6,11.5,108,162,,-7.9,,Elko
Ruby,26EK-ISO-10-3565,26EK-ISO,-,-,,1,0.9,Cryptocrystalline silicate,Proximal fragment,-20.6,-20.3,-17.3,3.5,-6.9,7.4,108,161,,-5.5,,Rosegate
Ruby,26EK2024-10-3566,26EK2024,-,PL Artifact 1,Non-component,1,2.8,Cryptocrystalline silicate,Proximal fragment,-33.1,-32.3,-16.8,4.7,13.8,10.2,114,158,,6.6,,Elko
Ruby,26EK11799-10-3568,26EK11799,C1,PL Artifact 1,Middle Archaic (C1),1,4.1,Cryptocrystalline silicate,Nearly complete,-38.6,-36.3,-22.8,6.1,-7.1,-7.2,137,217,,-4.9,DSA rule,Elko
Ruby,26EK11801-10-3569,26EK11801,-,PL Artifact 1,,1,2.1,Obsidian,Proximal fragment,-20.5,-18.4,19.5,5.2,,,,,,,,Indeterminate
Ruby,26EK11803-10-3574,26EK11803,A,PL Artifact 1,,1,0.9,Cryptocrystalline silicate,Whole,17.6,15.8,16.4,4.1,16.5,10,135,232,,6.9,NOI rule,Elko?
Ruby,26EK11804-10-3580,26EK11804,NL,PL Artifact 1,,1,2,Cryptocrystalline silicate,Proximal fragment,-19.5,-17.2,-17.6,5.3,14.1,12.5,124,212,,6.7,PSA rule,Elko?
Ruby,26EK11851-10-3585,26EK11851,A,PL Artifact 1,Non-component,1,0.7,Obsidian,Nearly complete,24.2,23.4,-12.1,2.7,-8.3,-7.7,168,208,,4.8,,Desert Side-notched
Ruby,26EK11851-10-3586,26EK11851,A,PL Artifact 2,Non-component,1,0.8,Cryptocrystalline silicate,Proximal fragment,-15.6,-15.3,-16.5,3.4,,5.1,107,164,,,,Rosegate
Ruby,26EK12131-10-3587,26EK12131,NL,PL Artifact 5,Non-component,1,0.5,Cryptocrystalline silicate,Nearly complete,-18.6,-17,-12.3,3.2,,5.5,96,,,-3,DSA ok,Rosegate
Ruby,26EK12131-10-3588,26EK12131,C,PL Artifact 6,Non-component,1,1.6,Obsidian,Nearly complete,-23.7,-23.5,-18.1,4.4,-8.8,-9.8,80,208,,5.4,,Contracting Stem Dart
Ruby,26EK12131-10-3589,26EK12131,C,PL Artifact 7,Non-component,1,0.7,Obsidian,Nearly complete,-24,-22.3,14.9,2.8,,5.1,109,131,,,,Rosegate
Ruby,26EK12131-10-3590,26EK12131,C,PL Artifact 8,Non-component,1,0.6,Cryptocrystalline silicate,Proximal fragment,-19.7,-18.3,-13.1,3.1,-5.08,-5.77,101,159,,4.1,,Rosegate
Ruby,26EK12131-10-3591,26EK12131,NL,PL Artifact 9,Non-component,1,1.1,Obsidian,Medial fragment,-15.9,-15.7,-18.3,4.3,,-10,112,162,,,PSA suspect,Elko?
Ruby,26EK12131-10-3592,26EK12131,NL,PL Artifact 10,Non-component,1,5.3,Cryptocrystalline silicate,Whole,50.8,49.5,22.9,4.6,19,,,,32,,,Other Dart
Ruby,26EK12131-10-3593,26EK12131,NL,PL Artifact 11,Non-component,1,1.6,Basalt,Distal fragment,-30.7,-27.9,-17.8,3.6,,,,,,,,Indeterminate
Ruby,26EK12131-10-3594,26EK12131,NL,PL Artifact 12,Non-component,1,1.6,Cryptocrystalline silicate,Proximal fragment,-21.9,-21.7,21.1,4.6,7.7,6.6,104,137,,4.4,,Rosegate
Ruby,26EK12131-10-3595,26EK12131,NL,PL Artifact 13,Non-component,1,2.2,Cryptocrystalline silicate,Proximal fragment,-20.3,-14.3,-18.4,6.2,,,,,,,Gatecliff or Humboldt base,Dart-sized
Ruby,26EK12131-10-3596,26EK12131,C,PL Artifact 14,Non-component,1,1.1,Obsidian,Medial fragment,-21.7,-19.7,15.9,3.4,,-5.8,97,134,,,NW close to complete,Rosegate
Ruby,26EK12131-10-3597,26EK12131,NL,PL Artifact 15,Non-component,1,0.7,Obsidian,Proximal fragment,-19.9,-19.8,-13,3.1,8.1,7.3,120,203,,5.4,,Rosegate
Ruby,26EK12131-10-3598,26EK12131,NL,PL Artifact 16,Non-component,1,3.1,Cryptocrystalline silicate,Proximal fragment,-30.2,-29.8,20.6,4.8,-5.7,-9.8,103,171,,-4.5,PSA rule,Elko
Ruby,26EK12131-10-3603,26EK12131,NL,PL Artifact 1,Non-component,1,0.7,Obsidian,Proximal fragment,-13.2,-10.6,12,5.1,11.9,,,,,,Gatecliff or Humboldt base,Dart-sized
Ruby,26EK12133-10-3610,26EK12133,NL,PL Artifact 2,Non-component,1,0.5,Cryptocrystalline silicate,Nearly complete,-20.1,-19.3,12.5,2.7,12.4,6.2,162,210,,7.3,asymmetrical,Desert Side-notched?
Ruby,26EK12133-10-3611,26EK12133,NL,PL Artifact 14,Non-component,1,0.4,Obsidian,Proximal fragment,-12.9,-10.5,13.2,2.8,12.8,5.6,151,192,,5.8,,Desert Side-notched
Ruby,26EK12133-10-3612,26EK12133,NL,PL Artifact 15,Non-component,1,2.4,Obsidian,Proximal fragment,-27.6,-19.6,19.1,5.1,-5,-8.1,115,220,,-8.9,DSA rule,Elko?
Ruby,26EK-ISO-10-3618,26EK-ISO,-,-,,1,1.8,Cryptocrystalline silicate,Proximal fragment,-19.2,-15.9,-21.8,4.8,11.9,12,81,193,,9.9,,Gatecliff
Ruby,26EK-ISO-10-3619,26EK-ISO,-,-,,1,1,Cryptocrystalline silicate,Distal fragment,-25.9,-25.8,14.5,3.1,,5.5,103,149,,,,Rosegate
Ruby,26EK11835-10-3620,26EK11835,-,PL Artifact 1,,1,2.1,Cryptocrystalline silicate,Whole,28.7,27.4,20,4.7,16.5,14.9,116,220,,6.3,"PSA, DSA rules",Elko?
Ruby,26EK11836-10-3621,26EK11836,NL,PL Artifact 1,Non-component,1,3.9,Cryptocrystalline silicate,Proximal fragment,-31.8,-31.2,-20.4,6.4,15.7,12.7,116,224,,7.3,DSA rule,Elko?
Ruby,26EK-ISO-10-3623,26EK-ISO,-,-,,1,2.4,Obsidian,Proximal fragment,-27.7,-27,16.7,5.2,-10.2,11.2,117,217,,5.6,DSA rule,Elko?
Ruby,26EK11851-10-3627,26EK11851,NL,PL Artifact 3,Non-component,1,0.6,Cryptocrystalline silicate,Nearly complete,23,22.5,-12.9,3.3,-4.9,4.6,104,194,,4,drill use,Rosegate
Ruby,26HU5272-10-3634,26HU5272,NL,PL Artifact PA-42,Non-component,1,1.2,Obsidian,Medial fragment,-18.2,-17.5,-14.9,4.41,-10.4,10.1,136,212,,-5.6,,Dart-sized
Ruby,26HU5272-10-3635,26HU5272,NL,PL Artifact PA-43,Non-component,1,0.9,Obsidian,Medial fragment,-18.5,-18.1,-15.3,4.1,,-6.6,136,197,,,,Dart-sized
Ruby,26HU5272-10-3638,26HU5272,NL,PL Artifact PA-85,Non-component,1,1,Obsidian,Nearly complete,-25.8,-25.5,-12.9,3.6,8.5,6.1,116,141,,6.9,,Rosegate
Ruby,26HU5272-10-3645,26HU5272,PL-AG,PL Artifact PA-45,Non-component,1,0.5,Obsidian,Whole,-21.2,-21.2,9.6,3,,,,,,,NW looks measureable,Small Stemmed
Ruby,26HU-ISO-10-3656,26HU-ISO,-,-,,1,2.1,Obsidian,Whole,32.8,31.3,24.4,4.2,11.2,10,107,140,,6.6,,Elko
Ruby,26HU4792-10-3668,26HU4792,NL,PL Artifact 1,Non-component,1,0.6,Obsidian,Proximal fragment,-11.2,-9,17.8,3.6,-5.2,7.4,115,159,,-4.4,,Rosegate
Ruby,26HU4792-10-3669,26HU4792,NL,PL Artifact 4,Non-component,1,1.2,Obsidian,Proximal fragment,-20.4,-11,-20,4.1,-14,-14.1,119,163,,-6.5,one notch,Elko?
Ruby,26HU4793-10-3670,26HU4793,NL,PL Artifact 1,Non-component,1,2.8,Obsidian,Proximal fragment,-28.8,-26.9,-20.1,5.5,-20.2,11.4,145,201,,9.4,,Northern Side-notched
Ruby,26HU4793-10-3671,26HU4793,NL,PL Artifact 10,Non-component,1,1,Obsidian,Proximal fragment,-19.3,-14.6,-15.2,3.3,-5.4,-7.4,132,221,,-6.5,PSA rule; base incomplete,Northern Side-notched?
Ruby,26HU4806-10-3672,26HU4806,NL,PL Artifact 1,Non-component,1,1.1,Obsidian,Proximal fragment,-18.2,-18.1,19,3.1,7,5.6,109,140,,5.4,,Rosegate
Ruby,26HU4806-10-3673,26HU4806,NL,PL Artifact 2,Non-component,1,0.8,Obsidian,Proximal fragment,-26.4,-24.1,13.7,2.7,-9.3,6.1,123,161,,5.2,split stem,Rosegate
Ruby,26HU4809-10-3674,26HU4809,-,PL Artifact 1,Non-component,1,0.8,Obsidian,Whole,23.7,23.6,16.8,3.5,-6.5,5.7,105,134,,5.8,,Rosegate
Ruby,26HU4945-10-3675,26HU4945,NL,PL Artifact 5,Non-component,1,3.9,Obsidian,Nearly complete,-40.4,-35.5,19.2,5.8,9.9,,,,,,,Humboldt
Ruby,26HU4945-10-3676,26HU4945,NL,PL Artifact 6,Non-component,1,1.3,Obsidian,Proximal fragment,-15.8,-13.2,-16.2,4.4,13.1,,,,,,,Humboldt
Ruby,26HU4960-10-3677,26HU4960,NL,PL Artifact 1,Non-component,1,1.2,Obsidian,Proximal fragment,-18.6,-15.9,-18.5,3.8,15.2,11,121,148,,8.2,,Elko
Ruby,26HU4960-10-3678,26HU4960,NL,PL Artifact 2,Non-component,1,9.2,Obsidian,Whole,52.6,45.7,29.8,7.1,10.2,,,,25,,Odd,Other Dart
Ruby,26HU4962-10-3679,26HU4962,A,PL Artifact 1,Non-component,1,1.1,Obsidian,Proximal fragment,-17.9,-13.8,15,4,14.9,,,,,,,Humboldt
Ruby,26HU4962-10-3680,26HU4962,A,PL Artifact 2,Non-component,1,1.3,Obsidian,Proximal fragment,-21.3,-14.1,19.8,4.5,19.8,9.9,145,214,,17.5,,Northern Side-notched
Ruby,26HU4962-10-3681,26HU4962,A,PL Artifact 3,Non-component,1,1.1,Obsidian,Whole,23.1,22.6,13,4.4,10.6,,,,44,,,Humboldt
Ruby,26HU4962-10-3683,26HU4962,A,PL Artifact 5,Non-component,1,1.2,Obsidian,Proximal fragment,-16.1,-14.8,21.9,3.9,13.7,9.7,122,212,,10.3,DSA rule,Elko?
Ruby,26HU4962-10-3684,26HU4962,A,PL Artifact 6,Non-component,1,1,Obsidian,Proximal fragment,-13.2,-10,-15.8,4.9,11.7,,,,,,,Humboldt
Ruby,26HU4962-10-3685,26HU4962,A,PL Artifact 7,Non-component,1,3.2,Obsidian,Whole,37.8,29.3,19.5,5.3,11.8,10.1,105,199,,9.1,,Gatecliff
