CatID,ACC,Site,CAT,Locus,ProvString,Component,Description,Ct,Wt,MtlString,CndString,ML,AL,MW,MTH,BW,NW,PSA,DSA,MXWP,STL,Comments,PointType,Analyst,Complete,Notched,Serrated,EdgeGround,BasalThinned,Reworked
33095,26EK-ISO-10,26EK-ISO,3563,-,-,,PROJECTILE POINT,1,4.3,Cryptocrystalline silicate,Proximal fragment,32.6,31.7,19.8,6.6,13.7,12.6,112,202,,6.9,DSA rule,Elko?,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33096,26EK-ISO-10,26EK-ISO,3564,-,-,,PROJECTILE POINT,1,4.1,Cryptocrystalline silicate,Proximal fragment,41.9,41.5,20.9,5.7,10.6,11.5,108,162,,7.9,,Elko,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33097,26EK-ISO-10,26EK-ISO,3565,-,-,,PROJECTILE POINT,1,0.9,Cryptocrystalline silicate,Proximal fragment,20.6,20.3,17.3,3.5,6.9,7.4,108,161,,5.5,,Rosegate,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33098,26EK2024-10,26EK2024,3566,-,PL Artifact 1,Non-component,PROJECTILE POINT,1,2.8,Cryptocrystalline silicate,Proximal fragment,33.1,32.3,16.8,4.7,13.8,10.2,114,158,,6.6,,Elko,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33100,26EK11799-10,26EK11799,3568,C1,PL Artifact 1,Middle Archaic (C1),PROJECTILE POINT,1,4.1,Cryptocrystalline silicate,Nearly complete,38.6,36.3,22.8,6.1,7.1,7.2,137,217,,4.9,DSA rule,Elko,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33101,26EK11801-10,26EK11801,3569,-,PL Artifact 1,,PROJECTILE POINT,1,2.1,Obsidian,Proximal fragment,20.5,18.4,19.5,5.2,,,,,,,,Indeterminate,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33105,26EK11803-10,26EK11803,3574,A,PL Artifact 1,,PROJECTILE POINT,1,0.9,Cryptocrystalline silicate,Whole,17.6,15.8,16.4,4.1,16.5,10,135,232,,6.9,NOI rule,Elko?,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33111,26EK11804-10,26EK11804,3580,NL,PL Artifact 1,,PROJECTILE POINT,1,2,Cryptocrystalline silicate,Proximal fragment,19.5,17.2,17.6,5.3,14.1,12.5,124,212,,6.7,PSA rule,Elko?,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33116,26EK11851-10,26EK11851,3585,A,PL Artifact 1,Non-component,PROJECTILE POINT,1,0.7,Obsidian,Nearly complete,24.2,23.4,12.1,2.7,8.3,7.7,168,208,,4.8,,Desert Side-notched,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33117,26EK11851-10,26EK11851,3586,A,PL Artifact 2,Non-component,PROJECTILE POINT,1,0.8,Cryptocrystalline silicate,Proximal fragment,15.6,15.3,16.5,3.4,,5.1,107,164,,,,Rosegate,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33118,26EK12131-10,26EK12131,3587,NL,PL Artifact 5,Non-component,PROJECTILE POINT,1,0.5,Cryptocrystalline silicate,Nearly complete,18.6,17,12.3,3.2,,5.5,96,,,3,DSA ok,Rosegate,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
